SOURCE,RELATION,AIDA-SENTENCE,TAX,GENE
http://identifiers.org/pubmed/22482727,claims,"Mir-71 functions in the nervous system to facilitate the localization and transcriptional activity of DAF-16 in the intestine.",6239,260100
http://identifiers.org/pubmed/22692512,claims,"Regulatory dendritic cells can induce splenic B cells to differentiate into a distinct subtype of IL-10-producing regulatory B cells with unique phenotype CD19(hi)FcgammaIIb(hi).",10090,14130
http://identifiers.org/pubmed/22589554,claims,"Residues Glu-56 and Tyr-57 are essential for pUL50-pUL53 interaction.",10359,3077439
http://identifiers.org/pubmed/21919991,claims,"Ubiquitin targeting of tau protein occurs at neurofibrillary tangles in the early and intermediate maturation stages.",9606,4137
http://identifiers.org/pubmed/22623980,claims,"LsrR-mediated quorum sensing controls invasiveness of Salmonella typhimurium by regulating SPI-1 and flagella genes.",99287,2829957
http://identifiers.org/pubmed/22441041,claims,"SNARE proteins are necessary for the increased activity of KCC2 after Zn(2+) stimulation of mZnR/GPR39.",10116,171373
http://identifiers.org/pubmed/23112336,claims,"Ntc-1 encodes a VP/OT-related peptide, nematocin, that signals through the NTR-1 receptor.",6239,3896872
http://identifiers.org/pubmed/22524818,claims,"Low microsomal epoxide hydrolase expression is associated with bladder carcinogenesis and recurrence.",9606,2052
http://identifiers.org/pubmed/22824468,claims,"Single Nucleotide Polymorphisms in BRAF gene is associated with diseases.",9606,673
http://identifiers.org/pubmed/22651551,claims,"The closed state of E295K has a more distorted active site than the active site in the wild-type Polb.",10116,29240
http://identifiers.org/pubmed/22627767,claims,"Sox4 and CREB cooperate and contribute to increased proliferation of hematopoietic progenitor cells.",10090,20677
http://identifiers.org/pubmed/22588007,claims,"Point mutations in electron-transfer-flavoprotein beta is associated with destabilized conformations and defective protein:protein interactions leading to mitochondrial dysfunction.",9606,2109
http://identifiers.org/pubmed/22898304,claims,"The phosphorylation of Dpysl2 and Dpysl3 by Cdk5 and DYRK2 is required for the proper positioning of Rohon-Beard neurons and neural crest cells during neurulation in zebrafish embryos.",7955,553166
http://identifiers.org/pubmed/22660635,claims,"MiR-23b suppresses IL-17-, tumor necrosis factor alpha (TNF-alpha)- or IL-1beta-induced NF-kappaB activation and inflammatory cytokine expression by targeting TAB2, TAB3 and IKK-alpha.",9606,407011
http://identifiers.org/pubmed/22572818,claims,"Wnt1 is anti-lymphangiogenic by suppressing melanoma-derived VEGF-C expression.",10090,22408
http://identifiers.org/pubmed/22605381,claims,"Acyl-modified forms of HRAS-like tumor suppressors HRASLS2 and HRASLS3 are mimicking lipolytic activity of lecithin retinol acyltransferase LRAT.",9606,9227
http://identifiers.org/pubmed/22805570,claims,"Loss of phospholipase Cdelta1 from keratinocytes causes features of interleukin-17-associated inflammatory skin diseases.",10090,18799
http://identifiers.org/pubmed/22644305,claims,"Expression of CACNA2D3 mRNA is regulated in breast cancer cell lines by methylation in the CpG island located in the 5' regulatory region of the gene.",9606,55799
http://identifiers.org/pubmed/22638108,claims,"Rab7 siRNA knockdown causes increased E-cadherin.",9606,999
http://identifiers.org/pubmed/22683204,claims,"In response to replicative stress and unresolved DNA damage, p53 is hyperactivated in FA cells and triggers a late p21(Cdkn1a)-dependent G0/G1 cell-cycle arrest.",9606,1026
http://identifiers.org/pubmed/20147366,claims,"Vacuolar H+-ATPase apical accumulation in kidney intercalated cells is regulated by PKA and AMP-activated protein kinase.",10116,25636
http://identifiers.org/pubmed/22185758,claims,"The Bud4, along with Gin4 and cla4, is part of a complex network that regulates septins organizaon at the time of cytokinesis.",559292,853554
http://identifiers.org/pubmed/22761447,claims,"alpha1- and alpha5-containing laminins differentially regulate the sequential events to form epithelial tissues via beta1 integrin signals.",10090,16772
http://identifiers.org/pubmed/22426621,claims,"Prolactin and epidermal growth factor stimulate adipophilin synthesis in HC11 mouse mammary epithelial cells via the PI3-kinase/Akt/mTOR pathway.",9940,2828237
http://identifiers.org/pubmed/22610170,claims,"PCOLCE2 is required for efficient procollagen processing and deposition of fibrillar collagen in the pressure-overloaded myocardium.",10090,76477
http://identifiers.org/pubmed/21336986,claims,"Overexpression of Nanog protein is associated with gastric adenocarcinoma.",9606,79923
http://identifiers.org/pubmed/22814608,claims,"Let-7 and miR-125, cotranscribed from the let-7-complex locus, regulate the transcription factor chinmo to control temporal cell fate in the mushroom body (MB) lineage.",7227,12798012
http://identifiers.org/pubmed/22616691,claims,"ITIH5 gene expression is regulated both by obesity and by the region between visceral and subcutaneous adipose tissue.",9606,80760
http://identifiers.org/pubmed/22325094,claims,"At least in the somatosensory neocortex NPC1 protein is instrumental in synaptic function.",10090,18145
http://identifiers.org/pubmed/22295972,claims,"IL6R alpha is co-localized with melanin-concentrating hormone in the hypothalamus.",9606,3570
http://identifiers.org/pubmed/22655072,claims,"Wnt5a promotes breast cancer cell migration via Dvl2/Daam1/RhoA.",9606,23002
http://identifiers.org/pubmed/22340076,claims,"Gonadal steroids are essential for the induction of kisspeptin expression in the rostral periventricular area of the third ventricle during pubertal development in the male mouse.",10090,114229
http://identifiers.org/pubmed/22740690,claims,"X-linked sideroblastic anemia is due to carboxyl-terminal ALAS2 mutations that cause loss of binding to the beta-subunit of succinyl-CoA synthetase (SUCLA2).",9606,8803
http://identifiers.org/pubmed/22565643,claims,"Posterior microphthalmos can be caused by nonsense compound heterozygous mutations in the MFRP gene.",9606,83552
http://identifiers.org/pubmed/22580338,claims,"High snail1 is associated with migration and invasion of tongue squamous cell carcinoma.",9606,6615
http://identifiers.org/pubmed/22690117,claims,"The variants, rs1404699 and rs7803992, of CNTNAP2 are associated with exfoliation syndrome in the Japanese population.",9606,26047
http://identifiers.org/pubmed/21837760,claims,"The 5'-UTRs of arylamine N-acetyltransferase 1 (NAT1) are differentially regulated.",9606,9
http://identifiers.org/pubmed/22034289,claims,"BRCA1 mutations are associated with unselected Nigerian breast cancer patients.",9606,672
http://identifiers.org/pubmed/22706086,claims,"The CD2AP/SHIP1 complex and Cbl are recruited to blood dendritic cell (DC) antigen 2 (BDCA2) and Fc fragment of IgE high affinity I receptor (FcepsilonR1)gamma complex after BDCA2 cross-linking in human primary plasmacytoid DCs.",9606,3635
http://identifiers.org/pubmed/22811740,claims,"Opsonized live M. avium is phagocytosed by macrophages involving membrane receptors not related with JAK/STAT1 signalling pathway.",9606,6772
http://identifiers.org/pubmed/22496522,claims,"Kir2.1 is required for I(K1) in type II utricle hair cells.",10090,16518
http://identifiers.org/pubmed/22722494,claims,"Inhibition of AURKB induces stronger apoptotic responses in tetraploid than diploid cells.",9606,9212
http://identifiers.org/pubmed/22701694,claims,"Activation of BMP-Smad1/5/8 signaling promotes survival of retinal ganglion cells after damage in vivo.",10090,17125
http://identifiers.org/pubmed/22814607,claims,"Sox10 functions in Schwann cells by recruiting Brg1-containing chromatin-remodeling complexes.",9606,6597
http://identifiers.org/pubmed/22514090,claims,"SPT negatively regulates CUC1 and CUC2 expression in the apical part of the gynoecium.",3702,835478
http://identifiers.org/pubmed/22874919,claims,"Organ fate commitment and progenitor cell expansion are coordinately controlled by the activity of a Sox9/Fgf10/Fgfr2b feed-forward loop in the pancreatic niche.",10090,20682
http://identifiers.org/pubmed/22659337,claims,"AmtB proteins play a role in controlling the internal pool of ammonia within the cell.",96563,10941583
http://identifiers.org/pubmed/22749879,claims,"NFAT4 and NF-kappaB interact at the KB element to co-operatively activate both human polyomavirus JC early and late transcription and viral DNA replication.",9606,4775
http://identifiers.org/pubmed/22633287,claims,"The hierarchical process of antibody-secreting cells differentiation triggered by venom needs the signal derived from IL-5 and IL-17A.",10090,16171
http://identifiers.org/pubmed/22623979,claims,"Inactivation of CDK/pRb pathway normalizes survival pattern of lymphoblasts expressing the FTLD-progranulin mutation c.709-1G>A.",9606,2896
http://identifiers.org/pubmed/20880607,claims,"The polymorphism of insulin-degrading enzyme is associated with susceptibility to Alzheimer's disease in Han Chinese.",9606,3416
http://identifiers.org/pubmed/22518005,claims,"Kidney injury accelerates cystogenesis via pathways modulated by heme oxygenase and complement.",10090,12266
http://identifiers.org/pubmed/21567271,claims,"rs4444903 polymorphism in EGF gene is not associated with sporadic colorectal cancer.",9606,1950
http://identifiers.org/pubmed/22452365,claims,"DNA immunization against proacrosin impairs fertility in male mice.",9606,49
http://identifiers.org/pubmed/22659251,claims,"Familial combined hypolipidemia segregates as a recessive trait so that apolipoprotein B- and apolipoprotein A-I-containing lipoproteins are comprehensively affected only by the total deficiency of Angptl3.",9606,27329
http://identifiers.org/pubmed/22336210,claims,"Dynamic temporal changes in VEGF, Ang-1 and Ang-2 expression stimulate the cerebral angiogenesis after focal cerebral ischemia.",10116,89807
http://identifiers.org/pubmed/22590572,claims,"C. elegans EIF-3.K promotes programmed cell death through CED-3 caspase.",6239,179779
http://identifiers.org/pubmed/22071694,claims,"Cdk1/cyclin B1-dependent hyper-phosphorylation of Bim during prolonged mitotic arrest is an important cell death signal.",9606,891
http://identifiers.org/pubmed/22496417,claims,"The Smad7-APC complex links the TGFbeta type I receptor to the microtubule system to regulate directed cellular extension and migratory responses evoked by TGFbeta.",9606,324
http://identifiers.org/pubmed/20981461,claims,"The reason for the aggressive behaviour is the overexpression of pro-proliferative (MYC) and anti-apoptotic (BCL2, BCL6) oncoproteins at the same time.",9606,596
http://identifiers.org/pubmed/22635117,claims,"An AP180 amino-terminal homology/epsin amino-terminal homology domain-containing protein from Arabidopsis (Arabidopsis thaliana) is involved in clathrin-coated vesicle formation from the cell plate.",3702,837296
http://identifiers.org/pubmed/22336203,claims,"Endometrial carcinoma patients with loss of PTEN and p-AKT positivity have a favorable prognosis.",9606,207
http://identifiers.org/pubmed/22361940,claims,"papA5 is required for production of both phenolic glycolipids and phthiocerol dimycocerosates.",216594,6226027
http://identifiers.org/pubmed/22034055,claims,"Loss of Tff1 and high expression of cox2 are associated with gastric adenomas.",10090,21784
http://identifiers.org/pubmed/22956844,claims,"Simultaneous overexpression of Hes5 and Sox21 reveals Hes5 as a downstream effector of Sox21 in adult hippocampus neurogenesis.",10090,15208
http://identifiers.org/pubmed/22767602,claims,"Phosphorylation of SRp55 by Dyrk1A suppressed its ability to promote Tau exon 10 inclusion.",9606,6431
http://identifiers.org/pubmed/22271370,claims,"Long (GT)n repeats in the HO-1 gene promoter are associated with a higher risk of malignant mesothelioma in the Japanese population.",9606,3162
http://identifiers.org/pubmed/22761311,claims,"Estrogen-receptor-alpha tetradian oscillation is necessary to generate pulses of expression in genes for fatty acid and cholesterol synthesis.",10090,13982
http://identifiers.org/pubmed/22199144,claims,"HMGA1B mediates PIT1 over-expression in pituitary neoplasms.",9606,3159
http://identifiers.org/pubmed/22317973,claims,"Reduced C4ST-1 expression and chondroitin sulfation imbalance are mediating the effects of oncogenic HRAS signaling in the pathogenesis of Costello syndrome.",9606,50515
http://identifiers.org/pubmed/22624979,claims,"Pbp2 and MreB are required for normal chlamydial cell division.",813,2827981
http://identifiers.org/pubmed/22544036,claims,"The RNA-binding and aconitase forms of IRP-1 can undergo interconversion dependent on the density of cells growing in culture.",10116,50655
http://identifiers.org/pubmed/22857392,claims,"The -416G>C polymorphism of the TIM-1 gene is associated with childhood allergic asthma.",9606,26762
http://identifiers.org/pubmed/22547058,claims,"Cyclin K-containing kinase complexes maintain self-renewal in murine embryonic stem cells.",10090,12454
http://identifiers.org/pubmed/22474292,claims,"Scx and Id1 are involved in the BMP4-Smad1-SMA signal transduction pathway besides the TGFbeta1-Smad1-SMA signaling pathway and modulate phenotypic changes in MCs in diabetic nephropathy.",10090,12159
http://identifiers.org/pubmed/22790947,claims,"Protein N-myristoylation plays critical roles in the cellular morphological changes induced by FMNL2 and FMNL3.",9606,91010
http://identifiers.org/pubmed/22720752,claims,"The C-terminus of human PIM-1 kinase isoform2, a serine/threonine kinase of the calcium/calmodulin-regulated kinase family, directly interacts with VDR through the receptor's DNA-binding domain.",9606,5292
http://identifiers.org/pubmed/21553103,claims,"High Galectin-3 is associated with undifferentiated nasopharyngeal carcinoma.",9606,3958
http://identifiers.org/pubmed/22669466,claims,"Pax5 controls B-cell identity and function by regulating distinct target genes in early and late B lymphopoiesis.",10090,18507
http://identifiers.org/pubmed/22531726,claims,"Protein kinase C is associated with the reduction of aggregated protein and phosphorylation of CREB in aggregated protein-loaded glomeruli.",10090,18750
http://identifiers.org/pubmed/22713085,claims,"IRGM rs4958847 polymorphism influences susceptibility to gastric cancer, mainly for the intestinal type.",9606,345611
http://identifiers.org/pubmed/22516431,claims,"Site-specific phosphorylation of protein phosphatase 1 regulatory subunit 12A is stimulated or suppressed by insulin.",9606,4659
http://identifiers.org/pubmed/22523089,claims,"Spontaneous dimerization of titin protein Z1Z2 domains induces strong nanomechanical anchoring.",9606,7273
http://identifiers.org/pubmed/22722941,claims,"Multifaceted modulation of K+ channels by protein-tyrosine phosphatase epsilon tunes neuronal excitability.",10090,19267
http://identifiers.org/pubmed/22343355,claims,"Phase variation in contingency genes Cj0045 and Cj0170 strongly associates with colonization and disease in mice.",192222,904508
http://identifiers.org/pubmed/22784206,claims,"Erk1/2 signaling within oligodendrocytes exerts an important and direct effect to promote myelination.",10090,26417
http://identifiers.org/pubmed/22621920,claims,"Acute myeloid leukemia differentiation can be induced through ATP depletion and the subsequent activation of DNA damage signaling through an ATR/Chk1-dependent and p53-independent pathway.",9606,545
http://identifiers.org/pubmed/22778260,claims,"Phosphorylation of gephyrin in hippocampal neurons by cyclin-dependent kinase CDK5 at Ser-270 is dependent on collybistin.",10116,140908
http://identifiers.org/pubmed/22733990,claims,"Alternative splicing regulates Blimp-1 recruitment of corepressors and DNA binding activity.",10090,12142
http://identifiers.org/pubmed/22685286,claims,"Rot and SaeR, the response regulator of the Sae TCS, synergize to coordinate the activation of the ssl promoters.",451516,5776090
http://identifiers.org/pubmed/22718751,claims,"Dynamin-mediated Nephrin phosphorylation regulates glucose-stimulated insulin release in pancreatic beta cells.",9606,4868
http://identifiers.org/pubmed/22693230,claims,"FCN2 promoter variants (-986G>A and -4A>G) influence ficolin-2 serum levels and susceptibility to schistosomiasis.",9606,2220
http://identifiers.org/pubmed/22647876,claims,"Prox1 is a direct upstream modifier of Nkx2.5 by maintaining the adult conduction system and rescue of Nkx2.5 conduction disease phenotypes.",9606,5629
http://identifiers.org/pubmed/22613722,claims,"Monoubiquitination promotes calpain cleavage of the protein phosphatase 2A (PP2A) regulatory subunit alpha4, altering PP2A stability and microtubule-associated protein phosphorylation.",9606,4137
http://identifiers.org/pubmed/22814603,claims,"CHES-1-like controls the division of cardiac progenitors by regulating the activity of Polo, a kinase involved in multiple steps of mitosis.",7227,31678
http://identifiers.org/pubmed/21141566,claims,"Telomerase activation is present in ovary antral granulosa cells.",10116,301965
http://identifiers.org/pubmed/22481237,claims,"Loss of NDRG1 is associated with tumor angiogenesis in lung cancer.",9606,10397
http://identifiers.org/pubmed/22610259,claims,"Plasma EGFR mutations are associated with non-small cell lung cancer.",9606,1956
http://identifiers.org/pubmed/22685314,claims,"Embryonic fibroblasts lacking either the p65 subunit of NF-kappaB or the IkappaB kinase alpha or IkappaB beta subunits of the NF-kappaB activator complex are more sensitive to complement-dependent cytotoxicity.",10090,19697
http://identifiers.org/pubmed/22373917,claims,"DNA pol lambda and DNA ligase I are sufficient to promote efficient microhomology-mediated end-joining repair of broken DNA ends in vitro.",9606,27343
http://identifiers.org/pubmed/22230800,claims,"Bcr-abl kinase domain mutations during imatinib treatment are associated with recurrent bcr-abl positive acute lymphoblastic leukemia.",9606,613
http://identifiers.org/pubmed/22437207,claims,"Nearly 25% of congenital central hypoventilation syndrome patients carrying polyalanine expansion mutation inherit the PHOX2B mutation from parents with somatic mosaicism or constitutive mutation.",9606,8929
http://identifiers.org/pubmed/22500017,claims,"Lecithin:cholesterol acyltransferase deficiency protects against cholesterol-induced hepatic endoplasmic reticulum stress in mice.",10090,16816
http://identifiers.org/pubmed/22701669,claims,"Pitx homeoprotein family members bind a specific site in the Bmp4 incisor epithelium limb bud enhancer element that is necessary for its activity in vivo.",10090,12159
http://identifiers.org/pubmed/22753058,claims,"MukBEF generates and maintains the cellular positioning of chromosome loci independently of DNA replication.",511145,945549
http://identifiers.org/pubmed/22672991,claims,"The frequency of Foxp3(+)CD25(high) CD4(+)-T cells is augmented and correlated with the maintenance of a better cardiac function in indeterminate (IND) Chagas disease.",9606,50943
http://identifiers.org/pubmed/22679484,claims,"The non-cell autonomous induction of DIAP-1 is mediated by Yorkie, the conserved downstream effector of Hippo signaling.",7227,39753
http://identifiers.org/pubmed/21988232,claims,"Exposure to high glucose increases miR-486-5p expression and inhibits SIRT1 expression in human adipose tissue-derived mesenchymal stem cells.",9606,192343
http://identifiers.org/pubmed/21487968,claims,"Down-regulation of MiR-221 is associated with androgen-independent prostate carcinoma.",9606,407006
http://identifiers.org/pubmed/22238282,claims,"Cx43-mediated GJIC and SLC1A5 interaction play important functional roles in trophoblast cell fusion.",9606,2697
http://identifiers.org/pubmed/22434222,claims,"Sex modulates the interactive effect of the 5-HTTLPR genotype and CA on hippocampal volume.",9606,6532
http://identifiers.org/pubmed/22592534,claims,"The miR-145 plays important inhibitory role in breast cancer malignancy by targeting N-RAS and VEGF-A.",9606,406937
http://identifiers.org/pubmed/22588999,claims,"Mutations in torsin A gene lead to more frequent glutamate release in hippocampal neurons.",10090,30931
http://identifiers.org/pubmed/22814603,claims,"Jumu and CHES-1-like control the division of cardiac progenitors by regulating the activity of Polo, a kinase involved in multiple steps of mitosis.",7227,40232
http://identifiers.org/pubmed/22264874,claims,"High-sensitive troponin T is associated with atrial fibrillation in a general population.",9606,7139
http://identifiers.org/pubmed/22322056,claims,"The expression of SPHK1 in gastric cancer is significantly associated with lymph node metastasis, distant metastasis and a poor prognosis.",9606,8877
http://identifiers.org/pubmed/22357509,claims,"Elevation of urine trypsinogen 2 is an independent risk factor for pancreatic fistula after pancreaticoduodenectomy.",9606,5645
http://identifiers.org/pubmed/22581300,claims,"Hypermethylated RASSF1A is an important modulating factor for the efficacy of docetaxel-based chemotherapy in breast cancer.",9606,11186
http://identifiers.org/pubmed/22158049,claims,"p75 is essential for tumor angiogenesis and survival in highly vascularized murine lung tumor xenografts.",10090,21938
http://identifiers.org/pubmed/22441041,claims,"SNARE proteins are necessary for the increased activity of KCC2 after Zn(2+) stimulation of mZnR/GPR39.",10090,53612
http://identifiers.org/pubmed/22116536,claims,"Genetic polymorphisms of VDR are important in the clinical presentation of patients with calcium urolithiasis in the Han population of southern China.",9606,7421
http://identifiers.org/pubmed/22705154,claims,"ERK1/2-dependent Best-3 activation regulates cell fate decisions during endoplasmic reticulum stress by suppressing CHOP induction and death.",10116,29467
http://identifiers.org/pubmed/22693641,claims,"ACE2 deficiency enhances angiotensin II-mediated aortic profilin-1 expression, inflammation and peroxynitrite production.",10090,18643
http://identifiers.org/pubmed/22612467,claims,"The VEGF -634CC genotype is a risk factor of ONFH in the Chinese population.",9606,7422
http://identifiers.org/pubmed/22609332,claims,"Delta opioid receptor activation inhibits anoxia-induced Na+ influx through Na+ channels via protein kinase C-dependent mechanisms in the cortex.",10090,18386
http://identifiers.org/pubmed/22052810,claims,"TP53 codon 72 polymorphisms is not associated with recurrence in Wilms tumors.",9606,7157
http://identifiers.org/pubmed/22554196,claims,"KXD1 interacts with BLOS1.",9606,79036
http://identifiers.org/pubmed/22335436,claims,"miR160 negatively affects the expression of ARF10 during shoot regeneration.",3702,2828219
http://identifiers.org/pubmed/22653586,claims,"Genotype Pro/Pro of codon 72 polymorphism in TP53 contributes significantly to endometriosis susceptibility in the Mexican population.",9606,7157
http://identifiers.org/pubmed/22619175,claims,"Phosphoinositide-3-kinase/Akt and mammalian target of rapamycin (mTOR) pathway signaling differentially regulate phospho-Mst1-Thr-120/Thr-183.",9606,2475
http://identifiers.org/pubmed/22188534,claims,"Mutations in ras PIK3CA are present in benign lichenoid keratosis.",9606,5290
http://identifiers.org/pubmed/22373582,claims,"Polymorphisms in methylenetetrahydrofolate reductase (MTHFR) and methionine synthase reductase (MTRR) modulate the risk for breast cancer, particularly the A1298C polymorphism of the MTHFR gene.",9606,4524
http://identifiers.org/pubmed/22875938,claims,"CDK5RAP2 is a key molecule that mediates functional interaction and is essential for centrosomal targeting of Aurora-A.",10090,214444
http://identifiers.org/pubmed/22578416,claims,"Oocytes lack an efficient DNA damage checkpoint because they fail to effectively activate ATM kinase.",10090,11920
http://identifiers.org/pubmed/22395468,claims,"Maternal high fat exposure represses p16 (INK4a) gene expression in the mammary gland of offspring through changes of histone modifications and HDAC3 binding activity within the regulatory regions of the p16 (INK4a) gene.",10116,84578
http://identifiers.org/pubmed/22811598,claims,"(1)(3)(1)I-SHH is capable of in vivo detection of breast tumors with high HH signaling.",9606,6469
http://identifiers.org/pubmed/22803153,claims,"There is an association between CYP2D6 (1846G/A) genotype and rapid liver cirrhosis development.",9606,1565
http://identifiers.org/pubmed/22458929,claims,"BNIP3 expression and TGM2 expression are independent prognostic factors in laryngeal SCC patients receiving postoperative radiotherapy.",9606,664
http://identifiers.org/pubmed/22908313,claims,"Fibroblasts require Mena for multiple integrin alpha5beta1-dependent processes involving bidirectional interactions between the extracellular matrix and cytoplasmic focal adhesion proteins.",10090,13800
